AGE,GENDER,POLICYSTATUS,PREMIUMFREQUENCY,POLICYTERM,INTERESTRATE,INFLATIONRATE,SUMASSURED,PREMIUM
60,1,0,1,16,1.15,1.46,305000,152500.04
62,1,0,1,15,1.15,1.46,200000,122222.23
53,1,0,1,21,1.15,1.46,175000,97222.24
51,1,0,1,22,1.05,1.46,235000,130630.16
59,1,0,1,25,1.05,1.46,230000,166111.1
53,1,0,1,22,1.15,1.46,270000,150000
50,1,0,1,25,1.15,1.46,175000,126388.9
62,1,0,1,17,1.15,1.46,310000,258333.34
60,1,0,1,18,1.05,1.46,265000,209668.59
55,1,0,1,25,1.15,1.46,590000,49166.63
62,1,0,1,19,1.15,1.46,980000,381111.16
54,1,0,1,28,1.05,1.46,470000,47000
66,1,0,1,19,1.15,1.46,480000,97498.2
60,1,0,1,16,1.15,1.46,700000,311111.1
65,1,0,1,17,1.15,1.46,470000,49968.91
52,1,0,1,29,1.15,1.46,2000000,1000000.01
53,1,0,1,20,1.15,1.46,750000,416666.64
55,1,0,1,23,1.15,1.46,500000,166666.64
51,1,0,1,30,1.15,1.46,650000,92857.16
64,1,0,1,18,1.15,1.46,480000,293333.31
69,1,0,1,19,1.15,1.46,450000,350000
51,1,0,1,24,1.15,1.46,700000,583333.33
69,1,0,1,18,1.15,1.46,4000000,3000000.01
61,1,0,1,17,1.15,1.46,1100000,916666.67
40,1,0,1,27,0.25,1.46,850000,637530.29
68,1,0,1,15,1.05,1.46,1500000,1250000
68,1,0,1,16,1.05,1.46,1000000,833333.34
66,1,0,1,20,1.05,1.46,800000,667142.1
70,1,0,1,19,1.15,1.46,1200000,1000000
64,0,0,1,19,1.15,1.46,1100000,1008333.33
68,1,0,1,20,1.15,1.46,2300000,2172222.22
54,1,0,1,24,1.05,1.46,1900000,822773.44
69,1,0,1,17,1.15,1.46,440000,195555.6
67,0,0,1,18,1.05,1.46,500000,277777.76
67,1,0,1,19,1.05,1.46,225000,37500
53,1,0,1,28,1.15,1.46,285000,142500.03
56,1,0,1,23,1.15,1.46,4500000,3000000
59,1,0,1,21,1.05,1.46,2000000,2000000
52,1,0,1,23,1.15,1.46,300000,99999.96
60,1,0,1,16,1.15,1.46,490000,218004.75
57,1,0,1,21,1.15,1.46,500000,41666.63
51,1,0,1,30,1.06,1.46,400000,177777.8
70,1,0,1,17,1.15,1.46,180000,80000
65,1,0,1,16,1.15,1.46,720000,320000
56,1,0,1,29,1.05,1.46,275000,135772.56
51,1,0,1,22,1.15,1.46,300000,149999.97
53,0,0,1,29,1.05,1.46,650000,288888.9
61,1,0,1,15,1.15,1.46,480000,240000
68,1,0,1,17,1.15,1.46,330000,182837.25
58,1,0,1,25,1.15,1.46,300000,166666.64
51,1,0,1,22,1.05,1.46,680000,339999.98
66,1,0,1,18,1.15,1.46,900000,500000
67,1,0,1,20,1.05,1.46,1100000,274999.97
57,1,0,1,25,1.15,1.46,640000,160000.03
69,1,0,1,19,1.15,1.46,600000,350000
55,1,0,1,21,1.05,1.46,1200000,600000
56,0,0,1,29,1.15,1.46,4000000,2000000.02
67,1,0,1,18,1.15,1.46,980000,762222.24
58,1,0,1,20,1.15,1.46,2600000,1516666.65
53,1,0,1,25,1.15,1.46,2900000,2174999.99
63,1,0,1,18,1.15,1.46,70000000,56000000
65,1,0,1,19,1.15,1.46,288000,96000
61,1,0,1,18,1.15,1.46,300000,116666.63
62,1,0,1,18,1.05,1.46,275000,106944.42
58,1,0,1,30,1.05,1.46,250000,150592.41
66,1,0,1,19,1.05,1.46,300000,141489.83
59,1,0,1,20,1.15,1.46,83000,46111.12
54,1,0,1,24,1.15,1.46,260000,130000.04
70,1,0,1,18,1.05,1.46,690000,268333.37
68,1,0,1,16,1.05,1.46,235000,39166.7
58,0,0,1,27,1.05,1.46,50000,4166.63
68,1,0,1,20,1.05,1.46,470000,39166.63
57,1,0,1,24,1.15,1.46,340000,132222.21
51,1,0,1,27,1.15,1.46,1450000,587919.24
70,1,0,1,18,1.15,1.46,400000,200000.02
53,1,0,1,28,1.15,1.46,1200000,204626.49
60,1,0,1,18,1.15,1.46,1040000,259999.97
55,1,0,1,20,1.05,1.46,890000,445000.04
67,0,0,1,18,1.15,1.46,700000,291666.69
50,1,0,1,22,1.15,1.46,650000,270833.31
68,1,0,1,15,1.15,1.46,490000,299444.46
59,1,0,1,27,1.15,1.46,8500000,4250000.02
54,1,0,1,20,1.15,1.46,9800000,4899999.98
58,1,0,1,26,1.15,1.46,12500000,9722222.24
52,1,0,1,23,1.15,1.46,7500000,5000000
56,1,0,1,26,1.05,1.46,2200000,1711111.12
50,1,0,1,23,1.05,1.46,1800000,1400000
70,1,0,1,17,1.15,1.46,2400000,2000000
67,0,0,1,17,1.15,1.46,4500000,3375000
66,1,0,1,17,1.05,1.46,5900000,5408333.33
51,1,0,1,29,1.15,1.46,2700000,2250000
58,1,0,1,22,0.15,1.46,3700000,3700000
63,0,0,1,17,1.05,1.46,3300000,3025000
66,1,0,1,16,1.05,1.46,270000,105000
70,1,0,1,16,1.15,1.46,210000,69999.96
54,1,0,1,21,1.15,1.46,140000,11666.63
51,1,0,1,30,1.15,1.46,480000,160000
52,1,0,1,29,1.05,1.46,1300000,433333.36
61,1,0,1,15,1.15,1.46,310000,189444.46
70,0,0,1,17,1.15,1.46,4000000,2444444.46
51,1,0,1,27,1.05,1.46,1100000,733333.32
59,1,0,1,21,1.05,1.46,1800000,1350000
70,1,0,1,17,1.15,1.46,4000000,3666666.67
70,1,0,1,15,1.05,1.46,2000000,2000000
56,1,0,1,24,1.15,1.46,163000,72444.4
61,1,0,1,20,1.15,1.46,260000,115555.6
70,1,0,1,19,1.05,1.46,85000,21250.03
59,1,0,1,24,1.05,1.46,900000,225000
61,1,0,1,20,1.15,1.46,220000,55000.03
60,1,0,1,18,1.15,1.46,235000,58750.03
62,1,0,1,17,1.15,1.46,600000,333333.36
61,1,0,1,19,1.15,1.46,800000,333333.31
68,1,0,1,16,1.15,1.46,2200000,1283333.35
63,1,0,1,17,1.05,1.46,25000000,8333333.32
63,1,0,1,19,1.05,1.46,650000,544138.2
59,1,0,1,22,1.15,1.46,1500000,1250000
50,1,0,1,28,1.15,1.46,1700000,1416666.66
57,1,0,1,21,1.05,1.46,2000000,1777777.78
63,0,0,1,17,1.15,1.46,320000,164785.71
50,1,0,1,30,1.15,1.46,200000,16666.63
61,1,0,1,18,1.15,1.46,205000,79722.21
62,1,0,1,15,1.15,1.46,270000,105000
51,1,0,1,25,1.3,1.46,240000,120000.03
58,1,0,1,23,1.15,1.46,200000,88888.9
68,0,0,1,15,1.05,1.46,240000,120000.03
65,1,0,1,16,1.05,1.46,350000,194444.48
64,1,0,1,18,1.05,1.46,250000,124999.99
66,1,0,1,20,1.15,1.46,350000,175000.04
58,1,0,1,24,1.15,1.46,175000,97222.24
68,1,0,1,15,1.15,1.46,34500000,34500000
62,1,0,1,18,1.05,1.46,3800000,3800000
50,1,0,1,24,1.05,1.46,2000000,888888.9
66,1,0,1,17,1.15,1.46,1980000,1155027.83
57,1,0,1,25,1.15,1.46,2300000,1341666.7
61,1,0,1,17,1.05,1.46,8500000,5666666.64
69,1,0,1,17,1.15,1.46,12500000,8854166.69
56,1,0,1,28,1.05,1.46,96000000,72000000
66,1,0,1,17,1.05,1.46,22800000,18860831.05
52,1,0,1,26,1.15,1.46,32000000,25333333.35
70,1,0,1,20,1.15,1.46,20000000,16412037.05
61,1,0,1,15,1.15,1.46,50000000,41666666.68
56,1,0,1,30,1.15,1.46,70000000,64166666.66
66,1,0,1,16,1.15,1.46,26000000,23833333.34
68,1,0,1,20,1.05,1.46,21000000,20125000
65,1,0,1,19,1.05,1.46,23000000,22041666.67
70,1,0,1,15,1.05,1.46,78000000,74750000
56,1,0,1,30,1.15,1.46,225000,87500
57,0,0,1,23,1.06,1.46,200000,77777.79
63,1,0,1,15,1.05,1.46,200000,77777.79
59,1,0,1,29,1.15,1.46,225000,87500
60,1,0,1,18,1.15,1.46,330000,165000.03
66,1,0,1,17,1.05,1.46,274000,182666.68
56,1,0,1,24,1.15,1.46,270000,135000
66,1,0,1,16,1.15,1.46,1350000,525000
69,1,0,1,17,1.15,1.46,650000,108333.3
53,1,0,1,24,1.15,1.46,340000,28333.37
68,1,0,1,17,1.15,1.46,720000,60000
66,1,0,1,19,1.15,1.46,660000,55000
58,1,0,1,22,1.15,1.46,660000,165000
55,1,0,1,21,1.05,1.46,760000,190000.03
66,0,0,1,15,1.15,1.46,900000,150000
53,0,0,1,27,1.05,1.46,610000,129477.8
61,0,0,1,19,1.05,1.46,7000000,4083333.35
59,1,0,1,30,1.05,1.46,215000,83611.16
64,1,0,1,17,1.15,1.46,490000,190555.58
68,1,0,1,16,1.05,1.46,1000000,83333.37
53,1,0,1,29,1.05,1.46,900000,400000
51,1,0,1,21,1.05,1.46,2000000,1222222.23
70,1,0,1,19,1.15,1.46,1100000,625616.15
57,1,0,1,30,1.15,1.46,950000,580555.54
57,1,0,1,28,1.15,1.46,600000,250000
52,1,0,1,28,1.15,1.46,7500000,5577312.86
53,0,0,1,29,1.05,1.46,7500000,5078199.28
67,1,0,1,18,1.05,1.46,11000000,7944444.45
53,1,0,1,20,1.15,1.46,1000000,833333.32
60,1,0,1,20,1.05,1.46,12000000,10666666.66
62,0,0,1,15,1.05,1.46,1900000,1896681.75
63,1,0,1,17,1.05,1.46,2000000,1833333.33
56,1,0,1,27,1.05,1.46,2300000,2300000
68,1,0,1,15,1.05,1.46,11500000,11500000
53,1,0,1,25,0.15,1.46,700000,700000
63,1,0,1,15,1.05,1.46,300000,116666.63
67,0,0,1,16,1.05,1.46,100000,38888.84
55,0,0,1,21,1.05,1.46,270000,136364.22
63,1,0,1,19,1.05,1.46,200000,100000.01
64,1,0,1,18,1.05,1.46,230000,114999.98
66,1,0,1,20,1.05,1.46,85000,57102.76
53,1,0,1,30,1.05,1.46,210000,35000
63,1,0,1,16,1.05,1.46,330000,128333.37
56,1,0,1,21,1.05,1.46,250000,50593.82
52,1,0,1,30,1.05,1.46,168000,84000.03
54,0,0,1,27,1.05,1.46,130000,57777.8
62,1,0,1,18,1.05,1.46,520000,231111.1
52,1,0,1,25,1.05,1.46,280000,68661
56,1,0,1,25,1.05,1.46,295000,73750.03
61,1,0,1,18,1.15,1.46,290000,128888.9
64,1,0,1,15,1.15,1.46,650000,162499.97
65,1,0,1,18,1.15,1.46,500000,208333.31
57,1,0,1,22,1.15,1.46,350000,194444.48
58,1,0,1,23,1.15,1.46,730000,243333.36
54,1,0,1,21,1.15,1.46,520000,216666.69
53,1,0,1,23,1.15,1.46,1500000,1166666.68
63,1,0,1,19,1.05,1.46,1500000,1239832.57
70,1,0,1,20,1.05,1.46,5400000,4943385.52
57,1,0,1,23,1.05,1.46,4500000,4375400.13
54,1,0,1,28,1.15,1.46,900000,350000
55,1,0,1,24,1.05,1.46,11500000,7666666.66
68,1,0,1,17,1.05,1.46,200000,77777.79
51,1,0,1,29,1.05,1.46,2075,1954.83
59,1,0,1,25,1.05,1.46,1500,1333.34
61,1,0,1,19,1.05,1.46,2050,1945.75
62,1,0,1,17,1.15,1.46,820000,754278.92
61,1,0,1,20,1.15,1.46,278000,255718.95
59,1,0,1,22,1.15,1.46,1000000,931262.55
60,1,0,1,16,1.15,1.46,200000,183970.51
52,1,0,1,20,1.15,1.46,178000,161870.1
62,1,0,1,20,1.15,1.46,10000000,9305426.15
62,1,0,1,18,1.15,1.46,1500000,1395813.87
64,1,0,1,17,1.15,1.46,245000,227982.93
69,1,0,1,18,1.15,1.46,600000,558325.6
52,1,0,1,27,1.15,1.46,6000000,4995352.32
62,1,0,1,16,1.05,1.46,3900000,3686369.44
63,1,0,1,16,1.05,1.46,2300000,2169077.8
53,1,0,1,28,1.15,1.46,1340000,1240201.88
65,0,0,1,20,1.15,1.46,2350000,2175766.19
56,1,0,1,24,1.15,1.46,2850000,2740113.59
56,1,0,1,28,1.15,1.46,1200000,1060699.95
62,1,0,1,17,1.15,1.46,500000,480968.33
66,1,0,1,17,1.15,1.46,1500000,1442905.01
67,1,0,1,19,1.15,1.46,1000000,961068.43
64,1,0,1,16,1.15,1.46,1650000,1585762.88
66,1,0,1,17,1.15,1.46,1500000,1441602.56
59,1,0,1,29,1.05,1.46,180000,151850.12
69,1,0,1,20,1.15,1.46,4300000,4186287.25
59,1,0,1,22,1.15,1.46,400000,356378.76
69,1,0,1,15,1.15,1.46,1800000,1752399.33
69,1,0,1,17,1.15,1.46,580000,559678.18
50,1,0,1,20,1.15,1.46,260000,250232.42
64,1,0,1,18,1.15,1.46,820000,780899.22
64,1,0,1,19,1.15,1.46,3400000,3301050
60,1,0,1,16,1.15,1.46,1100000,1067986.73
67,1,0,1,15,1.05,1.46,7400000,7218749.75
57,1,0,1,30,1.05,1.46,35000000,33793247.39
66,1,0,1,16,1.15,1.46,45000000,43214147.17
63,1,0,1,16,1.15,1.46,13000000,12784759.57
69,1,0,1,17,1.15,1.46,8350000,8269846.98
53,1,0,1,23,1.15,1.46,13000000,12784759.57
59,1,0,1,28,1.15,1.46,25000000,24586076.11
57,1,0,1,26,1.05,1.46,7000000,6931002.1
63,1,0,1,15,1.05,1.46,12000000,11801316.51
55,1,0,1,24,1.15,1.46,13000000,12784759.57
50,1,0,1,29,1.15,1.46,45500000,45063237.96
60,1,0,1,16,1.15,1.46,13400000,13178136.8
58,1,0,1,25,1.15,1.46,9600000,9337880.16
67,1,0,1,19,1.15,1.46,13500000,13166802.23
53,1,0,1,22,1.05,1.46,45500000,44377000.09
61,1,0,1,16,1.05,1.46,45500000,44257661.25
64,0,0,1,19,1.05,1.46,5340000,5174524.37
50,1,0,1,23,1.15,1.46,13000000,12474561.99
65,1,0,1,16,1.15,1.46,17600000,16888637.8
59,1,0,1,29,1.15,1.46,9515000,9402053.37
52,1,0,1,23,1.05,1.46,45000000,44731313.54
60,1,0,1,15,1.05,1.46,17000000,16788110.88
60,1,0,1,17,1.05,1.46,1450000,1441342.33
70,1,0,1,15,1.05,1.46,7950000,7850910.68
59,1,0,1,24,1.05,1.46,6500000,6461189.73
53,1,0,1,23,1.15,1.46,2000000,1933958.03
66,1,0,1,17,1.05,1.46,13400000,13232981.5
61,1,0,1,15,1.05,1.46,9300000,9184084.17
59,1,0,1,28,1.15,1.46,17500000,17281878.84
55,1,0,1,27,1.05,1.46,5000000,4824338.83
62,0,0,1,18,1.05,1.46,9000000,8768171.4
53,1,0,1,29,1.05,1.46,2300000,2255488.36
63,1,0,1,17,1.05,1.46,13400000,13019536.02
55,1,0,1,30,1.15,1.46,6400000,6361058.14
69,1,0,1,16,1.15,1.46,2780000,2780000
65,1,0,1,18,1.05,1.46,8300000,8249497.27
70,1,0,1,17,1.05,1.46,6800000,6800000
66,1,0,1,20,1.05,1.46,7000000,7000000
50,1,0,1,28,1.05,1.46,3000000,2981746
62,1,0,1,17,1.05,1.46,7000000,6957407.34
70,1,0,1,16,1.15,1.46,28000000,27943768.47
62,0,0,1,20,1.05,1.46,4200000,4200000
63,1,0,1,15,1.15,1.46,1990000,1990000
70,1,0,1,16,1.05,1.46,20000000,20000000
59,1,0,1,21,1.05,1.46,2300000,2287202.88
66,1,0,1,19,1.15,1.46,6000000,5914406.31
55,1,0,1,22,1.15,1.46,13770000,13686214.15
58,1,0,1,21,1.15,1.46,19000000,17826262.98
56,1,0,1,26,1.05,1.46,13300000,13042664.95
70,1,0,1,16,1.05,1.46,16000000,15011589.88
59,1,0,1,26,1.05,1.46,48000000,46679048.41
53,1,0,1,21,1.15,1.46,9000000,9000000
69,1,0,1,15,1.15,1.46,5000000,5000000
52,1,0,1,29,1.15,1.46,21000000,21000000
57,1,0,1,23,1.05,1.46,48000000,48000000
56,1,0,1,24,1.05,1.46,6000000,6000000
69,1,0,1,15,1.05,1.46,10000000,9916564.02
50,1,0,1,28,1.15,1.46,9000000,8972909.43
66,1,0,1,20,1.15,1.46,2000000,1977979.27
67,1,0,1,15,1.15,1.46,14000000,14000000
51,1,0,1,28,1.15,1.46,9500000,9500000
65,1,0,1,15,1.15,1.46,3500000,3500000
52,1,0,1,21,1.05,1.46,10100000,10100000
62,1,0,1,19,1.15,1.46,7750000,7750000
58,1,0,1,23,1.15,1.46,6500000,6500000
53,1,0,1,23,1.05,1.46,200000,24461.44
52,1,0,1,29,1.05,1.46,220000,202367.55
64,1,0,1,18,1.05,1.46,680000,501972.28
67,1,0,1,15,1.15,1.46,245000,225343.09
62,1,0,1,19,1.15,1.46,450000,243820.53
59,1,0,1,23,1.15,1.46,700000,634750.57
69,1,0,1,15,1.15,1.46,670000,584359.97
54,1,0,1,26,1.15,1.46,335000,84272.34
69,1,0,1,20,1.15,1.46,500000,465271.35
57,1,0,1,30,1.05,1.46,900000,806531.96
66,1,0,1,15,1.05,1.46,140000,46991.05
59,1,0,1,20,1.05,1.46,800000,727945.77
54,1,0,1,29,1.05,1.46,1000000,944744.7
56,1,0,1,21,1.05,1.46,300000,134564.9
63,1,0,1,16,1.15,1.46,500000,474058.09
66,1,0,1,18,1.15,1.46,1000000,757424.28
68,0,0,1,19,1.05,1.46,1600000,1523013.05
64,0,0,1,19,1.05,1.46,600000,544115.87
55,1,0,1,28,1.05,1.46,500000,475271.3
64,1,0,1,15,1.05,1.46,2000000,1894564.1
53,1,0,1,24,1.15,1.46,900000,757569.02
60,1,0,1,15,1.15,1.46,950000,799656.13
52,1,0,1,24,1.15,1.46,2500000,2374495.28
54,1,0,1,29,1.15,1.46,800000,722274.34
60,1,0,1,16,1.15,1.46,1800000,1450674.88
66,0,0,1,15,1.05,1.46,2000000,1847514.17
54,1,0,1,20,1.15,1.46,860000,829867.62
70,1,0,1,16,1.05,1.46,800000,771969.85
66,1,0,1,15,1.05,1.46,150000,95766.34
67,1,0,1,17,1.05,1.46,320000,253100.31
70,1,0,1,19,1.15,1.46,800000,788862.11
57,1,0,1,22,1.05,1.46,430000,382897.71
67,1,0,1,17,1.05,1.46,2000000,1841072.85
54,1,0,1,28,1.05,1.46,1600000,1478011.34
63,1,0,1,20,1.15,1.46,800000,739005.64
52,0,0,1,29,1.05,1.46,850000,666578.28
59,1,0,1,29,1.05,1.46,900000,870390.93
69,1,0,1,15,1.05,1.46,630000,583189.49
54,1,0,1,21,1.05,1.46,1300000,1257231.42
62,1,0,1,15,1.15,1.46,1200000,1147778.62
56,1,0,1,23,1.15,1.46,310000,192581.19
59,1,0,1,27,1.05,1.46,1700000,1546416.45
69,1,0,1,18,1.05,1.46,2000000,1873964.14
54,1,0,1,29,1.05,1.46,670000,435627.08
68,1,0,1,18,1.05,1.46,315000,202332.09
66,1,0,1,18,1.05,1.46,1000000,970897.03
61,1,0,1,15,1.05,1.46,4700000,4390812.62
59,1,0,1,26,1.15,1.46,1400000,1366519.25
51,1,0,1,27,1.05,1.46,320000,224362.27
51,1,0,1,29,1.05,1.46,4000000,3717109.78
62,1,0,1,18,1.05,1.46,4000000,3707140.52
61,1,0,1,19,1.05,1.46,7000000,6470049.71
55,1,0,1,22,1.05,1.46,4000000,3933772.16
55,1,0,1,20,1.15,1.46,3000000,2853570.21
61,1,0,1,16,1.15,1.46,4200000,3954087.78
69,1,0,1,15,1.36,1.46,4000000,3792001.7
60,1,0,1,15,1.02,1.46,4000000,3004694.28
57,1,0,1,26,1.05,1.46,6800000,6446402.9
58,1,0,1,27,1.05,1.46,6000000,5632162.18
69,1,0,1,15,1.05,1.46,1500000,1396741.79
70,1,0,1,20,1.05,1.46,9600000,9282998.55
60,1,0,1,18,1.05,1.46,11234000,10620235.04
60,1,0,1,19,1.05,1.46,1200000,1185043.13
64,1,0,1,18,1.05,1.46,2500000,2363413.53
53,1,0,1,28,1.05,1.46,12000000,11560083.51
54,1,0,1,22,1.05,1.46,1100000,1071665.39
60,1,0,1,17,1.05,1.46,6100000,5482706.3
69,1,0,1,19,1.05,1.46,7000000,6801250.15
61,1,0,1,17,1.05,1.46,6500000,6051822.18
54,1,0,1,20,1.05,1.46,13000000,11960394.88
70,1,0,1,17,1.05,1.46,10000000,9840526.66
69,1,0,1,18,1.05,1.46,16800000,16697777.61
64,1,0,1,19,1.05,1.46,2700000,2683571.4
53,1,0,1,30,1.05,1.46,860000,846285.29
53,1,0,1,23,1.05,1.46,5600000,5439344.46
56,1,0,1,28,1.05,1.46,2600000,2584179.87
67,1,0,1,17,1.05,1.46,1900000,1900000
60,1,0,1,17,1.05,1.46,7500000,7332255.71
52,1,0,1,22,1.05,1.46,15000000,14664511.42
68,1,0,1,19,1.05,1.46,2700000,2653842.11
68,1,0,1,17,1.05,1.46,1900000,1879293.61
56,1,0,1,27,1.05,1.46,2000000,1978203.79
58,0,0,1,28,1.05,1.46,2000000,1966167.08
50,1,0,1,29,1.05,1.46,2000000,1978203.79
62,0,0,1,17,1.05,1.46,3000000,2949250.63
68,1,0,1,18,1.05,1.46,3500000,3440792.39
64,1,0,1,15,1.05,1.46,1000000,980432.71
50,0,0,1,23,1.05,1.46,2000000,1772026.26
51,1,0,1,27,1.05,1.46,2000000,2000000
62,1,0,1,15,1.05,1.46,3200000,3200000
64,0,0,1,16,1.05,1.46,18000000,17817041.23
53,0,0,1,24,1.05,1.46,2800000,2799038.77
57,1,0,1,25,1.05,1.46,2800000,2776637.92
66,1,0,1,19,1.15,1.46,4000000,3966625.61
69,1,0,1,19,1.15,1.46,2500000,2479141
70,0,0,1,17,1.05,1.46,2000000,2000000
68,1,0,1,19,1.05,1.46,5300000,5300000
69,1,0,1,15,1.05,1.46,3000000,3000000
62,1,0,1,19,1.05,1.46,4000000,4000000
53,1,0,1,29,1.05,1.46,2000000,2000000
64,1,0,1,16,1.05,1.46,2300000,2300000
64,1,0,1,18,1.05,1.46,3500000,3500000
53,1,0,1,29,1.05,1.46,3500000,3500000
62,0,0,1,19,1.05,1.46,230000,214190.38
65,1,0,1,18,1.05,1.46,230000,211566.03
50,0,0,1,29,1.05,1.46,1100000,1024388.82
69,1,0,1,17,1.05,1.46,678000,631396.03
69,0,0,1,20,1.05,1.46,1000000,919852.34
66,1,0,1,17,1.05,1.46,750000,689889.27
52,0,0,1,25,1.05,1.46,810000,515601.06
60,1,0,1,19,1.05,1.46,800000,735881.91
51,1,0,1,21,1.05,1.46,240000,220764.6
58,1,0,1,27,1.05,1.46,1000000,920564.82
61,1,0,1,15,1.05,1.46,1080000,993440.56
52,1,0,1,25,1.05,1.46,220000,137209.28
67,1,0,1,19,1.05,1.46,208000,191329.31
70,1,0,1,18,1.15,1.46,249000,231884.39
64,1,0,1,17,1.05,1.46,800000,729583.22
56,1,0,1,21,1.05,1.46,1000000,915406.27
61,1,0,1,17,1.05,1.46,650000,596722.5
65,1,0,1,17,1.05,1.46,280000,260551.96
56,0,0,1,30,1.05,1.46,1000000,941138.81
57,0,0,1,29,1.05,1.46,1000000,941138.81
54,0,0,1,23,1.05,1.46,1000000,700205.28
56,1,0,1,26,1.05,1.46,1250000,1176423.52
53,1,0,1,21,1.05,1.46,140000,130275.97
68,1,0,1,18,1.05,1.46,580000,539714.76
52,1,0,1,21,1.05,1.46,1200000,1116651.11
70,1,0,1,19,1.05,1.46,800000,744434.06
69,1,0,1,19,1.05,1.46,400000,332118.87
57,1,0,1,23,1.05,1.46,140000,130275.97
70,1,0,1,19,1.05,1.46,1000000,941138.81
64,1,0,1,15,1.05,1.46,650000,604852.68
65,1,0,1,15,1.05,1.46,295000,277635.99
51,1,0,1,20,1.05,1.46,290000,269857.4
68,1,0,1,15,1.05,1.46,300000,277874.18
60,1,0,1,19,1.05,1.46,1500000,1405191.79
50,1,0,1,28,1.05,1.46,200000,187073.03
67,1,0,1,20,1.05,1.46,320000,297773.64
50,1,0,1,24,1.05,1.46,2000000,1864894.94
66,1,0,1,18,1.15,1.46,230000,212048.25
61,1,0,1,20,1.05,1.46,920000,857851.65
53,1,0,1,23,1.05,1.46,1800000,1674493.09
51,1,0,1,29,1.05,1.46,500000,459900.04
50,1,0,1,29,1.05,1.46,6000000,5671337.51
58,1,0,1,23,1.05,1.46,135000,127605.09
52,1,0,1,28,1.05,1.46,1000000,945222.96
63,1,0,1,20,1.05,1.46,247000,233470.01
